property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,Realtor,flag_notes,,
M011,Mosman,"6 Lavoni Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149800272,"$11,550,000 ",5-Dec-25,"$5,900,000 ",5-Nov-16,House,7,4,3,Yes,715,296,1930,No,2,No,"Graceful private family entertainer in blue ribbon street — full brick c1930s home with signature curved P&O façade, salt water pool, guest house, north-facing terrace",Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M012,Mosman,"26 Vista Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149563044,"$4,320,000 ",5-Dec-25,NaN,NaN,House,4,2,1,No,321,204,NaN,No,2,No,"Charming freestanding home in Mosman Village, period features (ornate ceilings, original fireplaces, plantation shutters), multiple living zones",Murphy Residential,NaN,,
M013,Mosman,"56 Spencer Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/property/56-spencer-rd-mosman-nsw-2088/,"$3,850,000 ",22-Nov-25,"$1,460,000 ",18-Nov-14,House,4,3,0,No,249,226,1910,No,2,Yes,"Stunning designer renovation of a Federation home, integrated island kitchen, parents retreat with city skyline views",Murphy Residential,NaN,,
M014,Mosman,"7 Cross Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148931724,"$10,100,000 ",14-Nov-25,"$9,139,000 ",17-Nov-22,House,6,3,2,Yes,695.6,301,1930,No,2,Yes,Parkside home reveals breathtaking 1930s luxury paired with flawless contemporary design,Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M015,Mosman,"110 Awaba Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-149215620,"$5,230,000 ",30-Oct-25,NaN,NaN,House,5,4,1,Pool potential,479,194,NaN,No,2,No,Unlock the True Potential of This Mosman Classic - On the Market for the First Time in Nearly 40 Years,Ray White Lower North Shore Group,NaN,,
M016,Mosman,"40 Stanley Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148993156,"$20,000,000 ",9-Oct-25,NaN,NaN,House,5,5,2,Yes,920,399,NaN,No,2,No,Federation Grandeur with Breathtaking Sydney Heads Views,Simeon Partners - Mosman,NaN,,
M017,Mosman,"4/13 McLeod Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-148962428,"$2,220,000 ",2-Oct-25,NaN,NaN,Townhouse,4,1,2,No,764,NaN,1970,No,4,No,Terrace style living above Mosman Bay - views & convenience,Ray White Lower North Shore Group,NaN,,
M018,Mosman,"35 Lang Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148958340,"$5,250,000 ",27-Sep-25,"$410,000 ",8-Jan-93,House,5,3,1,No,468,300,1905,No,2,No,Timeless Californian Bungalow Brimming with Character and Style,Belle Property Lower North Shore Group,NaN,,
M019,Mosman,"34 Harbour Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148740848,"$3,400,000 ",20-Sep-25,"$3,400,000 ",24-Aug-22,House,4,1,1,No,261,128,1885,No,2,Yes,Exquisitely renovated Federation beauty,Pello - Lower North Shore,NaN,,
M020,Mosman,"14 Effingham Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-144905184,"$7,500,000 ",20-Aug-25,"$750,000 ", 17 June 1993,House,4,3,2,Pool potential,678,376,1900,No,2,No,"Flawless Federation, Dress Circle Location",Murphy Residential,NaN,,
M021,Mosman,"4 Oswald Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148603724,"$5,000,000 ",15-Aug-25,NaN,NaN,House,4,2,2,Yes,607,269,1970,Yes,2,No,Storybook family entertainer on 607sqm in sought-after pocket,BresicWhitney - Lower North Shore,NaN,,
M022,Mosman,"26 Euryalus Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-147689860,"$7,300,000 ",15-Jul-25,"$8,000,000 ",21-Jul-17,House,5,4,2,Yes,470,385,1950,No,2,No,"masterpiece of contemporary elegance, offering sweeping views across Middle Harbour",Ray White - Everest Group,NaN,,
M023,Mosman,"24 Gordon Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148357324,"$4,600,000 ",11-Jul-25,"$2,500,000 ",9-Jun-16,House,3,2,2,No,245,120,1990,No,2,No,Balmoral slopes home bathed in northern sunlight,The Agency - North,NaN,,
M024,Mosman,"67 Raglan Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-148085992,"$9,650,000 ",6-Jun-25,NaN,NaN,House,5,3,2,Yes,904,373,1896,No,2,Yes,Cleveland' - Flawless 1896 residence exudes quintessential Mosman grandeur,Atlas | Lower North Shore - NEUTRAL BAY.,NaN,,
M025,Mosman,"18 Pindari Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-147967404,"$7,100,000 ",5-Jun-25,"$1,750,000 ",2-Feb-06,House,6,3,4,Yes,711,350,2017,No,2,No,"A contemporary family home for all seasons, architecturally designed and alive with natural light",Ray White Lower North Shore Group,NaN,,
M026,Mosman,"4 Buena Vista Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-147179212,"$19,500,000 ",26-May-25,"$2,400,000 ",18-May-96,House,6,3,2,Yes,1930,380,1897,No,2,No,Landmark Queen Anne Federation home of enduring grandeur,Atlas | Lower North Shore - NEUTRAL BAY. ,NaN,,
M027,Mosman,"3/12 Earl Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-148289668,"$2,380,000 ",23-May-25,"$2,380,000 ",23-May-25,Townhouse,3,2,2,No,289,189,1984,No,2,No,Move-in ready townhouse with ample scope to update,McGrath Lower North Shore,"was sold in 2026 again 
Sold
$2,900,000
Sold 21 March 2026 by O'Gorman & Partners Real Estate Co - Mosman",,
M028,Mosman,"99 Muston Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-145028944,"$14,600,000 ",6-Apr-25,"
$6,490,000",13-Nov-15,House,5,4,4,Yes,683,304,2006,No,2,Yes,A complete custom redesign pinnacle of Mosman's luxury market.,Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M029,Mosman,"14 Amaroo Crescent, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-147081180,"$8,950,000 ",2-Apr-25,"$6,300,000 ",14-Jun-19,House,4,3,4,Yes,500,334,2010,No,4,No,A Statement in Contemporary Luxury. An Exceptional Residence with Balmoral Beach Access at your door.,Aurora Property Lower North Shore. ,NaN,,
M030,Mosman,"3/1B Badham Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-147245400,"$1,735,000 ",7-Mar-25,"$1,750,000 ",30-Nov-22,Townhouse,2,1,1,No,879,135,1920,No,4,No,Exclusive Harbourside Living in Charming Townhouse,Atlas | Lower North Shore - NEUTRAL BAY.,"Sold $1,750,000 Sold 30 November 2022 by Ray White Lower North Shore Group",,
M031,Mosman,"7 David Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-147176100,"$9,600,000 ",5-Mar-25,"
$112,500",31-Oct-94,House,4,4,2,No,1079,252,NaN,No,2,No,Character home on a lavish block with glorious water views,Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M032,Mosman,"1/7 Lang Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-147169292,"$2,975,000 ",26-Feb-25,"$3,100,000 ",17 Jun 2021 ,Townhouse,4,2,2,No,634,278,1920,Yes,1,No,Elegant garden residence in boutique setting,BresicWhitney - Lower North Shore,NaN,,
M033,Mosman,"2 James Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-141554172,"$12,200,000 ",21-Feb-25,NaN,NaN,House,6,2,2,No,2795,173,1970,No,2,No,"One of Mosman's Largest Estates Gracing an Incredible 2,795 sqm - Held in the family for over 100 Years",Raine & Horne - Mosman,NaN,,
M034,Mosman,"1/12 Earl Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-146927276,"$2,600,000 ",1-Feb-25,NaN,NaN,Townhouse,3,2,2,No,289,125,1984,No,2,No,A magnificent light-filled townhouse,McGrath Lower North Shore,NaN,,
M035,Mosman,"106 Avenue Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-146931280,"$3,550,000 ",17-Jan-25,"$1,100,000 ",28-Apr-09,House,3,1,NaN,No,280,254,1915,No,2,No,"Prime Mosman Village Location, North facing backyard & Front-to-Rear lane Access!",Raine & Horne - Mosman,NaN,,
M036,Mosman,"6 Delecta Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-146365852,"$8,732,500 ",11-Dec-24,"$3,310,000 ","
4 Jul 2009",House,5,4,2,Yes,638,336,1985,No,3,Yes,"Mesmerising harbour views, perfect northerly aspect and architectural innovation",Ray White Lower North Shore Group,NaN,,
M037,Mosman,"1/34 Muston Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-146625028,"$2,820,000 ",7-Dec-24,"$1,315,000 ",15-May-10,Townhouse,3,2,2,No,610,145,1979,No,4,No, Renovate and Capitalise - Create your Dream Home!,Raine & Horne - Mosman,NaN,,
M038,Mosman,"3/83-87 Cabramatta Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-146715584,"$2,600,000 ",26-Nov-24,NaN,NaN,Townhouse,3,2,2,Yes,2165,112,1987,No,2,No,"Offering low-maintenance living with high-quality finishes, this dual-level townhouse is an ideal contemporary retreat. The home is situated within a boutique collection of twelve townhouses, nestled around a resort-style swimming pool.", Raine & Horne Lower North Shore.,$1545 per week Leased 20 February 2024 by Latham Cusack Property Services - Neutral Bay,,
M039,Mosman,"26 Morella Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-146506156,"$19,500,000 ",21-Nov-24,"$15,250,000 ",28-May-21,House,6,4,4,Yes,1672,456,1937,No,2,Yes,Landmark estate set on 1672 sqm with spectacular Main Harbour Views,Ray White Lower North Shore Group,7 0 2023 Leased $1490 per week Leased 7 February 2023 by Latham Cusack Property Services - Neutral Bay,,
M040,Mosman,"20 Carrington Avenue, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-146151728,"$5,800,000 ",26-Oct-24,"$3,760,000 ",26-Oct-19,House,4,3,2,Yes,582,224,1970,Yes,3,No,North-facing oasis with water views in Mosman's premier cul-de-sac, BresicWhitney - Lower North Shore,NaN,,
M041,Mosman,"8/800 Military Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-townhouse-nsw-mosman-145253688,"$2,600,000 ",1-Oct-24,"$1,310,000 ",12-May-14,Townhouse,3,2,2,No,1667,135,1981,No,2,Yes,"Prime Location, Ultimate Convenience and Luxurious Lifestyle",Raine & Horne - Mosman.,NaN,,
M042,Mosman,"27 Muston Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-146132232,"$6,800,000 ", 22-Sep-2024,NaN,NaN,House,4,1,1,No,503,254,1910,No,2,No,Cherished Family Home in Prime Mosman Village Location,Raine & Horne - Mosman,NaN,,
M043,Mosman,"46 Parriwi Road, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-145808068,"$14,250,000 ",2-Sep-24,NaN,NaN,House,6,4,3,Yes,2006,506,1988,No,2,No,One-of-a kind Federation beauty of distinctive grandeur,Atlas | Lower North Shore - NEUTRAL BAY,NaN,,
M044,Mosman,"8 Simpson Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-145542060,"$5,475,000 ",10-Aug-24,NaN,NaN,House,3,1,1,No,471,134,1920,No,1,No,Character Home - Unlock the Potential,O'Gorman & Partners Real Estate Co - Mosman,NaN,,
M045,Mosman,"99 Shadforth Street, Mosman, NSW 2088",2088,https://www.realestate.com.au/sold/property-house-nsw-mosman-145264172,"$3,100,000 ",1-Jul-24,"$1,650,000 ",22 Jun 2015 ,House,3,1,NaN,No,264,116,1910,Yes,1,No,Updated character in a sought-after village address,BresicWhitney - Lower North Shore,NaN,,
property_id,suburb,address,Postcode,source_url,sale_price,sale_date,prev_sale_price,prev_sale_date,property_type,bedrooms,bathrooms,car_spaces,Pool,land_size_m2,building_size_m2,year_built,auction_type,Storeys,renovated,listing_description,flag_notes,Realtor,,
EP001,Epping,"4/22-24 Boronia Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-151726000,"1,685,000",29-Jul-26,"$285,000 ", 8 May 1992,Villa,3,2,2,No,2110,279,1992,No,1,No,Low-Maintenance Living in a Prime Epping Locale,"Property Value section shows land size as 2,110m2 which reflects the whole complex, not the individual villa lot (left blank); built 1992 per Property Value history",The Agency - Epping,,
EP002,Epping,"9 McKechnie Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-151840916,"2,300,000",22-Jul-26,NaN,NaN,House,4,2,1,No,740,209,NaN,No,1,No,Spacious home in need of renovation,,McGrath Epping,,
EP003,Epping,"81 Chesterfield Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-151201008,"2,968,000",2-Jul-26,"2,625,000",27-Jun-23,House,4,2,1,Yes,860,239,1950,No,1,No,Charming Family Home in a Premium Epping Pocket,"Land size (860m2) sourced from Property Value section, not stated in listing itself; prior sale in 2023 for $2,625,000 per Property Value history",Tracy Yap Realty - Epping,,
EP004,Epping,"2/30 Third Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-150975720,"1,530,000",22-Jun-26,"$525,000 ",10-Jul-04,Villa,3,2,2,No,239,200,2001,No,1,No,SOLD BY MYPROPERTY SYDNEY - PETER HOROZAKIS,,MyProperty Sydney,,
EP005,Epping,"7/28 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-151301240,"1,700,000",17-Jun-26,"$1,339,000 ",31-Jul-19,Townhouse,3,2,2,No,"3,617",243,2000,No,2,No,Exclusive Living in a Highly Desirable Setting,"Property Value section shows land size as 3,617m2 (same complex as 4/28-34 Kent Street) - reflects whole complex, not individual lot (left blank); building size differs slightly between listing (233m2 'Total Size') and Property Value (243m2 floor area)",McGrath Epping,,
EP006,Epping,"3/115 Carlingford Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-151062404,"1,517,888",27-May-26,"$1,210,000 ",30-Jan-17,Townhouse,3,2,1,No,313,131,2010,No,2,No,Spacious Townhouse | Top School Catchment | Walk to Everything,Property Value section shows sold date as 20 May 2026 (differs from listing's 27 May 2026); land size (313m2) sourced from Property Value section only,Stone Real Estate - Beecroft / Castle Hill / Epping,,
EP007,Epping,"2/14 Cliff Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-150938052,"1,750,000",16-May-26,"$540,000 ",6-Aug-03,House,3,2,2,No,966,413,1940,No,1,Yes,Effortless Family Living in a Prime Epping Pocket,Property Value section shows land size as 966m2 (whole complex/lot); listing's own key details state 497m2 for the individual lot,McGrath Epping,,
EP008,Epping,"190 Ray Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-150691484,"2,100,000",10-Apr-26,NaN,NaN,House,4,1,1,No,696,229,NaN,No,2,No,Ideal Building Block with 21m frontage - North to Rear,,Ray White Horizon Group - North,,
EP009,Epping,"23/38 Stanley Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-150489840,"1,520,000",31-Mar-26,"$363,000 ",25-May-01,Townhouse,3,2,2,No,"11,341",213,NaN,No,2,Yes,Duplex-Style Townhouse with Ultimate Privacy,"Property Value section shows land size as 11,341m2 which reflects the whole complex, not the individual lot (left blank)",Ray White - Epping,,
EP010,Epping,"2/8-10 Angus Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-150450244,"1,915,000",27-Feb-26,"$1,280,000 ",14-Nov-15,Villa,3,2,2,No,3002,238,NaN,No,2,No,EXCLUSIVE OFF MARKET OPPORTUNITY,"Property Value section shows land size as 3,002m2 which reflects the whole complex, not the individual villa lot (left blank)",The Agency - Epping,,
EP011,Epping,"77 Chester Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-150133412,"3,305,000",25-Feb-26,"$2,820,000 ",27-Aug-22,House,5,2,2,No,993,275,NaN,No,1,No,Timeless Family Home on 992.7sqm in Blue-Ribbon Epping,"Prior sale in 2022 for $2,820,000 per Property Value history",Ray White - Epping,,
EP012,Epping,"29 Somerset Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149125348,"1,925,000",5-Feb-26,NaN,NaN,House,3,2,3,No,817,284,NaN,No,2,No,Rare Opportunity on 817sqm with 25m Frontage,,Ray White Horizon Group - North,,
EP013,Epping,"8A Lomax Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-duplex+semi-detached-nsw-epping-149494544,"2,328,888",21-Jan-26,"$1,500,000 ",13-Jun-19,Duplex/semi-detached,5,4,2,No,439,231,2019,No,2,No,"Spacious and whisper-quiet, moments from the heart of Epping and Carlingford",Property Value section shows sold date as 14 Jan 2026 (differs from listing's 21 Jan 2026),Uniland Real Estate | Epping - Castle Hill,,
EP014,Epping,"6/110 Midson Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-149920620,"1,716,000",17-Jan-26,"$1,155,000 ",23-Oct-18,Villa,3,1,2,No,302,NaN,NaN,Super Saturday auction,1,No,Enticing full brick family villa of outstanding space and privacy,,McGrath Epping,,
EP015,Epping,"2C Treeview Place, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149231748,"3,388,000",15-Jan-26,"$3,388,000 ",31-Dec-25,House,5,3,3,No,500.3,190,NaN,No,4,No,"Designed for exceptional entertaining, crafted for flawless living","Property Value section shows sold date as 31 Dec 2025 (differs from listing's 15 Jan 2026); leased for $1,900/week in Mar 2026 after sale",Uniland Real Estate | Epping - Castle Hill,,
EP016,Epping,"43 Hillcrest Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149643892,"3,338,888",16-Dec-25,"$2,120,000 ",13-Dec-14,House,5,3,2,Yes,878,299,NaN,No,2,No,An Elegant Creation Perfectly Positioned for Convenience,,Uniland Real Estate | Epping - Castle Hill,,
EP017,Epping,"22/40-42 Stanley Road, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-149402300,"1,850,000",10-Dec-25,"$505,000 ",13-Jul-02,Townhouse,4,2,2,No,"10,294",267,NaN,No,2,No,Bright East-Facing Duplex-Style Townhouse With Rare Privacy,"Property Value section shows sold date as 5 Dec 2025 (differs from listing's 10 Dec 2025); land size of 10,294m2 reflects whole complex, not individual lot (left blank)",Ray White - Epping,,
EP018,Epping,"3/2A Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-149562772,"1,748,000",30-Nov-25,"$1,070,000 ",10-Oct-15,Townhouse,4,2,2,No,266,144,NaN,No,2,Yes,New Renovated Townhouse in a Coveted Epping Enclave,,Uniland Real Estate | Epping - Castle Hill,,
EP019,Epping,"146A Pennant Parade, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149207520,"2,830,000",23-Oct-25,NaN,NaN,House,5,5,2,Yes,464,461,NaN,No,2,No,Sold - David Pisano,Property Value section shows land size as 461m2 (listing states 464m2) - minor rounding discrepancy,McGrath - Strathfield,,
EP020,Epping,"4/28-34 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-149057844,"1,875,000",11-Oct-25,"$485,000 ",22-Jan-01,Townhouse,3,2,2,No,"3,617",248,NaN,No,4,No,Oversized Modern Townhouse in Leafy Yet Central Parkside Pocket,"Land size (248m2) taken from listing's own Key Details; Property Value section shows 3,617m2 which reflects the whole complex, not the individual lot",McGrath Epping,,
EP021,Epping,"3 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148946340,"3,245,000",27-Sep-25,NaN,NaN,House,4,2,3,No,860,317,1921,No,2,No,"Double Brick c1921, character bungalow with 20.12m approx frontage",,Stone Real Estate - Beecroft / Castle Hill / Epping,,
EP022,Epping,"17 York Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-149086968,"3,005,800",15-Sep-25,"$1,465,000 ",22-Nov-14,House,5,3,2,Yes,809,245,1950,No,1,No,Prestigious 6-Bedroom Family Haven on Spacious Level Block in Epping,Listing title says '6-Bedroom' but header icon and Property Value section both show 5 bedrooms; Property Value section attributes the sale to 'McConnell Bourn' whereas the listing displays 'Raine & Horne Carlingford/Epping' as the agency,Raine & Horne Carlingford/Epping,,
EP023,Epping,"1A Hillcrest Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148840448,"2,588,000",12-Sep-25,NaN,NaN,House,5,2,2,No,1104,242,NaN,No,2,No,"Privacy on 1104sqm - in Epping West, Cheltenham Girls, Epping Boys zones",,Stone Real Estate - Beecroft / Castle Hill / Epping,,
EP024,Epping,"1/34 Kandy Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-townhouse-nsw-epping-148628132,"1,610,000",30-Aug-25,"$605,000 ",9-Oct-07,Townhouse,3,2,1,No,232,232,NaN,No,2,No,Hidden Gem - Sunlit Townhouse Close to Everything,,McGrath Epping,,
EP025,Epping,"5/16 Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-148877240,"1,550,000",22-Aug-25,"$800,000 ",1-Mar-13,Villa,3,2,2,No,3035,289,NaN,No,2,No,Spacious villa in tranquil surrounds overlooking reserve,"Land size (3,035m2) reflects the whole complex, not the individual villa lot; building size 289m2 is the individual unit",McGrath Epping,,
EP026,Epping,"1/2A Hillside Crescent, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-villa-nsw-epping-148581932,"1,655,000",16-Aug-25,"$611,100 ",15-Dec-04,Villa,3,2,2,No,263,228,NaN,No,2,No,Effortless Living in a Prime Walk-to-Rail Location,,Ray White Horizon Group - North,,
EP027,Epping,"1A Hermington Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-147746600,"2,903,888",29-Jul-25,"$872,000 ",15-Mar-08,House,4,2,2,No,400,168,2005,No,2,No,Immaculate Sunlit Family Home in Superb Locale,"Land size (400m2) and year built (2005) sourced from Property Value section, not stated in listing itself",Uniland Real Estate | Epping - Castle Hill,,
EP028,Epping,"22 Kent Street, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148375432,"3,318,888",11-Jul-25,"
$1,855,000",10-Feb-15,House,4,2,2,Yes,765.1,281,1920,No,2,No,Enduring elegance meets modern family living in a prestigious address,,Uniland Real Estate | Epping - Castle Hill,,
EP029,Epping,"18 Magnolia Avenue, Epping, NSW 2121",2121,https://www.realestate.com.au/sold/property-house-nsw-epping-148220684,"3,912,000",29-Jun-25,"
$1,210,000",20-Feb-14,House,5,3,2,No,834.7,305,2016,No,2,Yes,Elegant. Expansive. Exclusive. Your Dream Home Awaits,,Uniland Real Estate | Epping - Castle Hill,,
